,Submission id,Participant id,Status_x,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Religious affiliation,Participation in regular religious activities,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,StartDate,EndDate,Status_y,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,1.1,1.2,1.3,Q33,4.1,4.2,8.1,8.2,5.1,5.2,6.1,6.2,7.1,7.2,3.1,3.2,10.1,10.2,9.1,9.2,PROLIFIC_PID
0,67860cc6de72db7bc04067cf,676142ea62e43dc328c173f9,AWAITING REVIEW,Not Applicable,2025-01-14T07:05:48.897000Z,2025-01-14T07:14:08.837000Z,,2025-01-14T07:14:09.505675Z,500,676142ea62e43dc328c173f9,93,Islam,Yes. Both public and private,English,26,Male,Black,Nigeria,United States,United States,English,No,Full-Time,1/14/2025 2:05,1/14/2025 2:13,IP Address,172.56.164.170,100,481,TRUE,1/14/2025 2:13,R_6DTx46v45YUQC0R,,,,,40.6764,-73.8753,anonymous,ZH-T,676142ea62e43dc328c173f9,strongly believe,graduate school (postgraduate),Once a week,Yes,may increase,very likely to increase,may increase,definitely increase,may increase,may increase,definitely increase,definitely increase,very likely to increase,very likely to increase,definitely increase,definitely increase,very likely to increase,definitely increase,remain the same,may increase,676142ea62e43dc328c173f9
1,67860da3e8e96e07d7f910fc,66c635fe31937c73ad6834a4,AWAITING REVIEW,Not Applicable,2025-01-14T07:09:49.087000Z,2025-01-14T07:16:32.412000Z,,2025-01-14T07:16:33.302031Z,404,No completion code received,40,Islam,Yes. Both public and private,"English, Hindi, Tamil",27,Female,Asian,India,India,India,Tamil,No,Full-Time,1/14/2025 2:09,1/14/2025 2:15,IP Address,49.37.201.31,100,349,TRUE,1/14/2025 2:15,R_4vJnqJQfEx14TGV,,,,,12.8996,80.2209,anonymous,ZH-T,66c635fe31937c73ad6834a4,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,remain the same,very likely to decrease,very likely to increase,very likely to decrease,may decrease,very likely to increase,may increase,will definitely increase,remain the same,may increase,remain the same,remain the same,very likely to increase,may decrease,very likely to decrease,66c635fe31937c73ad6834a4
2,67860e0245786ae2a295b92f,66d3264a41d01576242efa65,AWAITING REVIEW,Not Applicable,2025-01-14T07:11:08.819000Z,2025-01-14T07:17:50.596000Z,,2025-01-14T07:17:51.152009Z,402,NOCODE,84,Islam,Yes. Both public and private,"English, Other",28,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time,1/14/2025 2:11,1/14/2025 2:17,IP Address,41.144.38.232,100,354,TRUE,1/14/2025 2:17,R_8rMl9HLfRidhGyZ,,,,,-29.8556,31.0449,anonymous,ZH-T,66d3264a41d01576242efa65,strongly believe,undergraduate (college/University),Daily or more,Yes,may increase,very likely to increase,may increase,very likely to increase,may increase,very likely to increase,definitely increase,definitely increase,may increase,very likely to increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,66d3264a41d01576242efa65
3,67860e7747aa150822032f71,6666a910c3598ec451c7ef2e,AWAITING REVIEW,Not Applicable,2025-01-14T07:13:58.562000Z,2025-01-14T07:21:44.959000Z,,2025-01-14T07:21:45.531787Z,467,NOCODE,132,Islam,Yes. Both public and private,"Afrikaans, Dutch, French, German, Spanish, Other, English",32,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time,1/14/2025 2:14,1/14/2025 2:21,IP Address,197.184.171.2,100,432,TRUE,1/14/2025 2:21,R_28sOKxSoiWZkvrr,,,,,-26.0964,27.991,anonymous,ZH-T,6666a910c3598ec451c7ef2e,strongly believe,graduate school (postgraduate),Daily or more,Yes,definitely decrease,may decrease,very likely to decrease,very likely to increase,very likely to decrease,very likely to decrease,very likely to decrease,may increase,definitely decrease,very likely to decrease,very likely to decrease,definitely decrease,very likely to decrease,may decrease,definitely decrease,definitely decrease,6666a910c3598ec451c7ef2e
4,67860e7a616a88d34fff4ba5,6581b6c9703c9d00a5d2e3e3,AWAITING REVIEW,Not Applicable,2025-01-14T07:13:26.092000Z,2025-01-14T07:20:51.167000Z,,2025-01-14T07:20:52.025008Z,446,6581b6c9703c9d00a5d2e3e3,133,Islam,Yes. Both public and private,English,27,Female,Black,Cameroon,South Africa,Cameroon,English,Yes,Unemployed (and job seeking),1/14/2025 2:13,1/14/2025 2:19,IP Address,41.147.4.24,100,373,TRUE,1/14/2025 2:19,R_8IW5H8lipmwY0pi,,,,,-33.91,18.4304,anonymous,ZH-T,6581b6c9703c9d00a5d2e3e3,strongly believe,undergraduate (college/University),Once a few months,Yes,remain the same,may increase,remain the same,very likely to increase,remain the same,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,remain the same,very likely to increase,remain the same,very likely to increase,remain the same,very likely to increase,6581b6c9703c9d00a5d2e3e3
5,67860ed66457ee37f42d2f4a,671b0b2f5b089acd46688b9c,AWAITING REVIEW,Not Applicable,2025-01-14T07:16:07.137000Z,2025-01-14T07:23:01.963000Z,,2025-01-14T07:23:02.614157Z,415,NOCODE,27,Islam,Yes. Both public and private,English,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,1/14/2025 2:16,1/14/2025 2:22,IP Address,41.121.109.66,100,380,TRUE,1/14/2025 2:22,R_8k82xEDDEAOIYAK,,,,,-25.7599,28.2604,anonymous,ZH-T,671b0b2f5b089acd46688b9c,strongly believe,undergraduate (college/University),Daily or more,Yes,may decrease,may increase,may decrease,may decrease,may decrease,may decrease,definitely increase,may increase,will definitely increase,may increase,definitely increase,very likely to increase,definitely increase,definitely increase,may decrease,very likely to increase,671b0b2f5b089acd46688b9c
6,67860f585abadd26f6adb905,664b8cea76bb80570322160f,AWAITING REVIEW,Not Applicable,2025-01-14T07:16:45.369000Z,2025-01-14T07:21:18.040000Z,,2025-01-14T07:21:18.631570Z,273,NOCODE,22,Islam,Yes. Both public and private,"Arabic, English, French",22,Female,White,Algeria,Algeria,Algeria,Arabic,Yes,Full-Time,1/14/2025 2:16,1/14/2025 2:21,IP Address,105.235.130.91,100,254,TRUE,1/14/2025 2:21,R_8Z8DzqQvaHE6Ap3,,,,,36.7642,3.1468,anonymous,ZH-T,664b8cea76bb80570322160f,strongly believe,undergraduate (college/University),Daily or more,Yes,very likely to decrease,remain the same,remain the same,remain the same,remain the same,remain the same,very likely to increase,very likely to increase,may increase,definitely increase,may increase,may increase,remain the same,may increase,remain the same,may increase,664b8cea76bb80570322160f
7,67860f62ecc40bccf17ed88e,65f33319737e19c6aad351b3,AWAITING REVIEW,Not Applicable,2025-01-14T07:17:35.054000Z,2025-01-14T07:23:06.354000Z,,2025-01-14T07:23:06.985351Z,332,NOCODE,191,Islam,Yes. Both public and private,"English, Malayalam",21,Male,Asian,India,India,India,Malayalam,Yes,Other,1/14/2025 2:17,1/14/2025 2:22,IP Address,116.68.100.100,100,297,TRUE,1/14/2025 2:22,R_4Jx5ETILXVxfysY,,,,,9.9185,76.2558,anonymous,ZH-T,65f33319737e19c6aad351b3,strongly believe,undergraduate (college/University),Once a week,Yes,remain the same,definitely increase,remain the same,definitely increase,may increase,definitely increase,very likely to increase,definitely increase,may increase,very likely to increase,remain the same,very likely to increase,remain the same,remain the same,remain the same,very likely to increase,65f33319737e19c6aad351b3
8,67860f802f5bf8526e2338c2,6641e03952c9dba1ebae3c99,AWAITING REVIEW,Not Applicable,2025-01-14T07:26:46.174000Z,2025-01-14T07:37:01.718000Z,,2025-01-14T07:37:03.011216Z,616,NOCODE,491,Islam,Yes. Both public and private,English,34,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,1/14/2025 2:26,1/14/2025 2:36,IP Address,86.1.112.146,100,586,TRUE,1/14/2025 2:36,R_2DwAOGrhPud2rWF,,,,,55.0546,-1.6462,anonymous,ZH-T,6641e03952c9dba1ebae3c99,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,may increase,may increase,may increase,remain the same,may increase,definitely increase,very likely to increase,very likely to increase,may increase,may increase,very likely to increase,remain the same,may increase,remain the same,may increase,6641e03952c9dba1ebae3c99
9,67860f838e84e82f8daad50a,66cecaedfdf1fe2c010e9a3e,AWAITING REVIEW,Not Applicable,2025-01-14T07:17:52.792000Z,2025-01-14T07:24:46.636000Z,,2025-01-14T07:24:47.512790Z,414,NOCODE,66,Islam,Yes. Both public and private,"Indonesian, English",31,Female,Asian,Indonesia,Indonesia,Indonesia,Indonesian,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",1/14/2025 2:17,1/14/2025 2:24,IP Address,114.10.78.52,100,388,TRUE,1/14/2025 2:24,R_4iU9v2J07dHhPX7,,,,,-6.5945,106.789,anonymous,ZH-T,66cecaedfdf1fe2c010e9a3e,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,very likely to increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,will definitely increase,definitely increase,may increase,may increase,remain the same,remain the same,may increase,very likely to increase,66cecaedfdf1fe2c010e9a3e
