Submission id,PROLIFIC_PID,Status_x,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Non-religious,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,StartDate,EndDate,Status_y,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,1.1,1.2,Q33,4.1,4.2,8.1,8.2,5.1,5.2,6.1,6.2,7.1,7.2,3.1,3.2,10.1,10.2,9.1,9.2
679669dd4cda17e140385967,5ab4e1b861533800011c745e,APPROVED,Not Applicable,2025-01-26T16:59:31.665000Z,2025-01-26T17:12:49.656000Z,2025-01-27T06:27:55.405000Z,2025-01-26T17:12:50.651284Z,798.0,NOCODE,354,Atheist,40,Female,White,Greece,Greece,Greece,Greek,No,Part-Time,2025-01-26 12:02:57,2025-01-26 12:12:20,IP Address,62.74.3.9,100,562,True,2025-01-26 12:12:20,R_2JItNe34p7u9c6s,,,,,40.6439,22.9358,anonymous,ZH-T,5ab4e1b861533800011c745e,strongly disbelieve,undergraduate (college/University),Yes,remain the same,may increase,remain the same,remain the same,may decrease,may decrease,definitely increase,very likely to increase,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,stay the same
679669dfe678a1f48603f26d,5fa154fd4cbe97227182aff7,APPROVED,Not Applicable,2025-01-26T16:59:11.101000Z,2025-01-26T17:05:39.104000Z,2025-01-27T06:27:55.819000Z,2025-01-26T17:05:39.759828Z,389.0,NOCODE,634,Atheist,33,Male,Mixed,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking),2025-01-26 11:59:13,2025-01-26 12:05:14,IP Address,102.182.190.196,100,361,True,2025-01-26 12:05:15,R_823WzkO4DqK0mDP,,,,,-33.9258,18.4259,anonymous,ZH-T,5fa154fd4cbe97227182aff7,unsure,high school,Yes,remain the same,may decrease,may decrease,may decrease,may decrease,may decrease,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,may increase,very likely to increase,may decrease,may decrease
679669e0d9f2fc9dfbec772c,5dd9bd7bf85b50953fdf003c,APPROVED,Not Applicable,2025-01-26T16:59:19.288000Z,2025-01-26T17:03:35.482000Z,2025-01-27T06:27:56.099000Z,2025-01-26T17:03:35.958595Z,257.0,NOCODE,567,Atheist,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,2025-01-26 11:59:23,2025-01-26 12:03:09,IP Address,92.40.204.71,100,226,True,2025-01-26 12:03:10,R_2xSjpjvRzigfg6o,,,,,51.4535,-2.5917,anonymous,ZH-T,5dd9bd7bf85b50953fdf003c,strongly disbelieve,undergraduate (college/University),Yes,remain the same,remain the same,may decrease,may decrease,may decrease,may decrease,very likely to increase,very likely to increase,very likely to increase,very likely to increase,may increase,may increase,remain the same,remain the same,may decrease,may decrease
679669e14d95d98da37a64c0,605cfd62eeb3a7b5003d97d0,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:21.232000Z,2025-01-26T17:03:56.245000Z,,2025-01-26T17:03:57.383796Z,276.0,NOCODE,141,Atheist,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,2025-01-26 11:59:25,2025-01-26 12:03:40,IP Address,89.181.210.147,100,254,True,2025-01-26 12:03:40,R_2npdUVwO0TZIvud,,,,,41.1459,-8.6169,anonymous,ZH-T,605cfd62eeb3a7b5003d97d0,strongly disbelieve,graduate school (postgraduate),Yes,may decrease,remain the same,remain the same,very likely to increase,may decrease,may increase,definitely increase,definitely increase,may increase,remain the same,remain the same,remain the same,remain the same,remain the same,may increase,definitely increase
679669e87b5a98eefae34c50,5eb33041025b5d1264d47e00,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:20.077000Z,2025-01-26T17:08:15.787000Z,,2025-01-26T17:08:16.477741Z,536.0,NOCODE,521,Atheist,25,Male,Mixed,Brazil,Portugal,Brazil,Portuguese,Yes,Other,2025-01-26 11:59:24,2025-01-26 12:07:23,IP Address,79.168.68.50,100,479,True,2025-01-26 12:07:24,R_2yehb4DIdEq1ztD,,,,,37.0157,-7.936,anonymous,ZH-T,5eb33041025b5d1264d47e00,strongly disbelieve,graduate school (postgraduate),Yes,remain the same,may increase,may decrease,very likely to increase,very likely to decrease,may decrease,definitely increase,definitely increase,very likely to increase,definitely increase,very likely to increase,definitely increase,remain the same,remain the same,very likely to decrease,may decrease
679669ebe6b4f3d248084357,5ce42dbec3f4270001574a15,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:23.961000Z,2025-01-26T17:09:16.614000Z,,2025-01-26T17:09:17.178994Z,593.0,NOCODE,156,Atheist,32,Male,White,Belgium,Belgium,Belgium,French,No,Full-Time,2025-01-26 11:59:26,2025-01-26 12:08:54,IP Address,217.136.199.246,100,568,True,2025-01-26 12:08:55,R_2Nb2cka1oEUxqo3,,,,,50.5107,4.5826,anonymous,ZH-T,5ce42dbec3f4270001574a15,strongly disbelieve,undergraduate (college/University),Yes,may decrease,remain the same,may decrease,remain the same,very likely to decrease,may decrease,very likely to increase,very likely to increase,very likely to increase,may increase,very likely to increase,very likely to increase,very likely to increase,remain the same,very likely to decrease,may decrease
679669f152d1c0720c2dd803,665c492a372cfba059fbeb56,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:35.131000Z,2025-01-26T17:02:05.679000Z,,2025-01-26T17:02:06.162506Z,151.0,NOCODE,558,Atheist,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2025-01-26 11:59:37,2025-01-26 12:01:49,IP Address,81.141.183.178,100,131,True,2025-01-26 12:01:50,R_8Pup0uaJT0xUEXn,,,,,53.4159,-2.1843,anonymous,ZH-T,665c492a372cfba059fbeb56,strongly disbelieve,high school,Yes,remain the same,may increase,may increase,very likely to increase,may increase,very likely to increase,very likely to increase,definitely increase,very likely to increase,very likely to increase,may increase,very likely to increase,remain the same,may increase,remain the same,may increase
679669f5b2c4df283ad297e4,6169982ceae3a5b9f9176e88,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:37.944000Z,2025-01-26T17:10:18.459000Z,,2025-01-26T17:10:20.000679Z,641.0,NOCODE,393,Atheist,24,Female,White,Russian Federation,Italy,Russian Federation,Russian,Yes,Other,2025-01-26 11:59:44,2025-01-26 12:10:03,IP Address,79.50.96.226,100,619,True,2025-01-26 12:10:04,R_2rUWyEs8OVow9eF,,,,,43.5916,10.4794,anonymous,ZH-T,6169982ceae3a5b9f9176e88,strongly disbelieve,high school,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,definitely increase,definitely increase,very likely to increase,may increase,remain the same,may increase,may increase,remain the same,remain the same,may increase
679669f74de638c8ac5d38ca,5f1e9ad4a2104c000bddf79c,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:46.439000Z,2025-01-26T17:04:50.734000Z,,2025-01-26T17:04:51.391837Z,305.0,NOCODE,133,Atheist,24,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time,2025-01-26 11:59:48,2025-01-26 12:04:33,IP Address,79.163.204.87,100,284,True,2025-01-26 12:04:34,R_2gTIPJD78OIK1wp,,,,,52.4032,16.9264,anonymous,ZH-T,5f1e9ad4a2104c000bddf79c,strongly disbelieve,high school,Yes,remain the same,remain the same,may decrease,very likely to increase,very likely to decrease,remain the same,very likely to increase,very likely to increase,very likely to increase,very likely to increase,remain the same,remain the same,remain the same,remain the same,very likely to decrease,stay the same
679669f8c82947196153ca6c,6743ab323660359aa529920a,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:45.299000Z,2025-01-26T17:03:49.493000Z,,2025-01-26T17:03:50.180893Z,245.0,NOCODE,27,Atheist,38,Female,White,United States,United States,United States,English,No,Full-Time,2025-01-26 11:59:47,2025-01-26 12:03:03,IP Address,136.33.244.210,100,196,True,2025-01-26 12:03:04,R_3T0GhdLymmdGcxz,,,,,38.8868,-94.8223,anonymous,ZH-T,6743ab323660359aa529920a,strongly disbelieve,graduate school (postgraduate),Yes,may decrease,remain the same,may decrease,very likely to decrease,very likely to decrease,may decrease,very likely to increase,very likely to increase,very likely to increase,very likely to increase,remain the same,remain the same,remain the same,remain the same,very likely to decrease,very likely to decrease
